        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC Power Draw [W] , VDDCI Power Draw [W] , VRM Efficiency [%] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2022-04-16 09:15:31 ,        1216.0   ,           1750.0   ,               74.0   ,              53   ,                2080   ,        100   ,                       13   ,                       2559   ,                      345   ,                 106.0   ,              82.6   ,               10.7   ,             93.6   , 0.9375   ,               49.0   ,                 10501   ,
2022-04-16 09:15:32 ,        1216.0   ,           1750.0   ,               74.0   ,              53   ,                2070   ,        100   ,                       37   ,                       2559   ,                      345   ,                 112.1   ,              75.2   ,               10.7   ,             93.6   , 0.9375   ,               49.0   ,                 10499   ,
2022-04-16 09:15:33 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2069   ,         99   ,                       38   ,                       2559   ,                      345   ,                 100.0   ,              89.8   ,               10.7   ,             94.0   , 0.9375   ,               50.0   ,                 10500   ,
2022-04-16 09:15:34 ,        1216.0   ,           1750.0   ,               74.0   ,              53   ,                2071   ,        100   ,                       60   ,                       2564   ,                      340   ,                  92.4   ,              98.9   ,               10.7   ,             94.9   , 0.9313   ,               48.0   ,                 10499   ,
2022-04-16 09:15:35 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2071   ,         74   ,                       19   ,                       2581   ,                      323   ,                 116.9   ,              77.7   ,               10.7   ,             93.3   , 0.9375   ,               48.0   ,                 10498   ,
2022-04-16 09:15:36 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2072   ,        100   ,                       38   ,                       2581   ,                      323   ,                  90.8   ,              92.2   ,               10.7   ,             94.0   , 0.9313   ,               47.0   ,                 10497   ,
2022-04-16 09:15:37 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2069   ,        100   ,                       34   ,                       2602   ,                      301   ,                 102.8   ,              83.2   ,               10.7   ,             93.5   , 0.9375   ,               48.0   ,                 10487   ,
2022-04-16 09:15:38 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2071   ,        100   ,                       58   ,                       2619   ,                      285   ,                  96.8   ,              95.3   ,               10.7   ,             95.0   , 0.9313   ,               48.0   ,                 10485   ,
2022-04-16 09:15:39 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2070   ,        100   ,                       26   ,                       2618   ,                      173   ,                 112.3   ,              77.1   ,               10.7   ,             93.7   , 0.9375   ,               47.0   ,                 10466   ,
2022-04-16 09:15:40 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2070   ,         39   ,                       14   ,                       2640   ,                      152   ,                  87.0   ,              90.8   ,               10.7   ,             90.5   , 0.9437   ,               50.0   ,                 10439   ,
2022-04-16 09:15:41 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2068   ,         99   ,                       30   ,                       2798   ,                      154   ,                 106.1   ,              90.3   ,               10.7   ,             94.3   , 0.9375   ,               47.0   ,                 10459   ,
2022-04-16 09:15:42 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2069   ,         96   ,                       42   ,                       2798   ,                      154   ,                 104.3   ,              94.4   ,               10.7   ,             94.6   , 0.9313   ,               48.0   ,                 10454   ,
2022-04-16 09:15:43 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2069   ,        100   ,                       27   ,                       2798   ,                      154   ,                 115.1   ,              93.0   ,               10.7   ,             94.6   , 0.9313   ,               48.0   ,                 10453   ,
2022-04-16 09:15:44 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2070   ,        100   ,                       24   ,                       2798   ,                      154   ,                 109.2   ,              97.7   ,               10.7   ,             91.9   , 0.9437   ,               48.0   ,                 10452   ,
2022-04-16 09:15:45 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2070   ,        100   ,                       19   ,                       2798   ,                      154   ,                  94.4   ,             106.2   ,               10.7   ,             94.1   , 0.9313   ,               48.0   ,                 10452   ,
2022-04-16 09:15:46 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2069   ,        100   ,                       38   ,                       2798   ,                      154   ,                 117.6   ,              71.1   ,               10.7   ,             94.8   , 0.9313   ,               49.0   ,                 10452   ,
2022-04-16 09:15:47 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2069   ,        100   ,                       48   ,                       2798   ,                      154   ,                  81.0   ,              85.7   ,               10.7   ,             93.9   , 0.9375   ,               48.0   ,                 10452   ,
2022-04-16 09:15:48 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2071   ,         93   ,                       44   ,                       2798   ,                      154   ,                 111.5   ,              83.0   ,               10.7   ,             94.6   , 0.9375   ,               47.0   ,                 10452   ,
2022-04-16 09:15:49 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2069   ,        100   ,                       27   ,                       2798   ,                      154   ,                 108.9   ,             100.4   ,               10.7   ,             94.9   , 0.9313   ,               50.0   ,                 10452   ,
2022-04-16 09:15:50 ,        1216.0   ,           1750.0   ,               75.0   ,              53   ,                2070   ,         96   ,                       39   ,                       2798   ,                      154   ,                 112.3   ,             102.5   ,               10.7   ,             94.2   , 0.9313   ,               49.0   ,                 10471   ,
