        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC Power Draw [W] , VDDCI Power Draw [W] , VRM Efficiency [%] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2022-04-18 00:15:50 ,        1216.0   ,           1750.0   ,               84.0   ,              60   ,                2480   ,        100   ,                       44   ,                       2870   ,                      138   ,                 126.0   ,             110.5   ,               10.7   ,             95.2   , 1.0375   ,               54.0   ,                  9990   ,
2022-04-18 00:15:51 ,        1216.0   ,           1750.0   ,               83.0   ,              60   ,                2482   ,         43   ,                       22   ,                       2873   ,                      138   ,                  99.5   ,              90.5   ,               10.7   ,             93.2   , 1.0438   ,               55.0   ,                 10025   ,
2022-04-18 00:15:52 ,        1216.0   ,           1750.0   ,               84.0   ,              60   ,                2482   ,        100   ,                       40   ,                       2874   ,                      138   ,                 108.6   ,             118.8   ,               10.7   ,             94.9   , 1.0375   ,               54.0   ,                 10029   ,
2022-04-18 00:15:53 ,        1216.0   ,           1750.0   ,               84.0   ,              60   ,                2481   ,         95   ,                       31   ,                       2879   ,                      138   ,                 131.3   ,             100.6   ,               10.7   ,             95.3   , 1.0375   ,               52.0   ,                 10027   ,
2022-04-18 00:15:54 ,        1216.0   ,           1750.0   ,               84.0   ,              60   ,                2479   ,        100   ,                       39   ,                       3035   ,                      140   ,                 121.0   ,             105.2   ,               10.7   ,             95.2   , 1.0375   ,               55.0   ,                 10029   ,
2022-04-18 00:15:55 ,        1216.0   ,           1750.0   ,               84.0   ,              60   ,                2479   ,        100   ,                       54   ,                       3042   ,                      142   ,                 117.7   ,             111.2   ,               10.7   ,             95.2   , 1.0375   ,               53.0   ,                 10021   ,
2022-04-18 00:15:56 ,        1216.0   ,           1750.0   ,               84.0   ,              60   ,                2480   ,        100   ,                       49   ,                       3042   ,                      143   ,                 108.8   ,             111.2   ,               10.7   ,             94.3   , 1.0500   ,               54.0   ,                 10021   ,
2022-04-18 00:15:57 ,        1216.0   ,           1750.0   ,               82.0   ,              53   ,                2179   ,        100   ,                       40   ,                       3181   ,                      141   ,                  90.7   ,              82.2   ,               10.7   ,             94.2   , 0.9375   ,               53.0   ,                 10017   ,
2022-04-18 00:15:58 ,        1216.0   ,           1750.0   ,               81.0   ,              53   ,                2099   ,         90   ,                       29   ,                       3181   ,                      142   ,                  95.5   ,              89.9   ,               10.7   ,             93.7   , 0.9375   ,               54.0   ,                 10017   ,
2022-04-18 00:15:59 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2091   ,        100   ,                       38   ,                       3181   ,                      143   ,                 103.7   ,              76.5   ,               10.7   ,             93.7   , 0.9375   ,               54.0   ,                 10016   ,
2022-04-18 00:16:00 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2092   ,        100   ,                       44   ,                       3188   ,                      143   ,                 103.2   ,              75.1   ,               10.7   ,             93.7   , 0.9375   ,               56.0   ,                  9997   ,
2022-04-18 00:16:01 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2094   ,        100   ,                       41   ,                       3188   ,                      143   ,                  98.4   ,              82.0   ,               10.7   ,             93.9   , 0.9375   ,               53.0   ,                 10006   ,
2022-04-18 00:16:02 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2093   ,        100   ,                       42   ,                       3188   ,                      143   ,                  95.3   ,              82.4   ,               10.7   ,             94.0   , 0.9375   ,               52.0   ,                 10010   ,
2022-04-18 00:16:03 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2091   ,         99   ,                       42   ,                       3188   ,                      143   ,                  94.9   ,              84.7   ,               10.7   ,             93.7   , 0.9375   ,               54.0   ,                 10001   ,
2022-04-18 00:16:04 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2092   ,        100   ,                       49   ,                       3188   ,                      144   ,                  88.7   ,              83.4   ,               10.7   ,             93.9   , 0.9375   ,               52.0   ,                 10001   ,
2022-04-18 00:16:05 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2091   ,        100   ,                       40   ,                       3189   ,                      144   ,                  94.4   ,              87.4   ,               10.7   ,             93.6   , 0.9375   ,               54.0   ,                 10002   ,
2022-04-18 00:16:06 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2092   ,        100   ,                       42   ,                       3198   ,                      144   ,                  93.7   ,              88.9   ,               10.7   ,             93.7   , 0.9375   ,               54.0   ,                 10006   ,
2022-04-18 00:16:07 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2091   ,        100   ,                       41   ,                       3198   ,                      144   ,                  91.1   ,              79.7   ,               10.7   ,             94.2   , 0.9375   ,               54.0   ,                 10009   ,
2022-04-18 00:16:08 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2090   ,         98   ,                       48   ,                       3198   ,                      144   ,                  99.4   ,              86.8   ,               10.7   ,             93.7   , 0.9375   ,               54.0   ,                 10009   ,
2022-04-18 00:16:09 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2091   ,        100   ,                       40   ,                       3198   ,                      144   ,                  94.8   ,              87.5   ,               10.7   ,             93.3   , 0.9437   ,               52.0   ,                 10011   ,
2022-04-18 00:16:10 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2091   ,        100   ,                       60   ,                       3199   ,                      144   ,                 101.8   ,              75.4   ,               10.7   ,             94.3   , 0.9375   ,               54.0   ,                 10010   ,
2022-04-18 00:16:11 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2091   ,        100   ,                       43   ,                       3199   ,                      144   ,                  95.8   ,              88.0   ,               10.7   ,             93.7   , 0.9437   ,               51.0   ,                 10010   ,
2022-04-18 00:16:12 ,        1216.0   ,           1750.0   ,               80.0   ,              53   ,                2092   ,         67   ,                       24   ,                       3199   ,                      144   ,                 107.8   ,              82.8   ,               10.7   ,             94.2   , 0.9437   ,               52.0   ,                 10006   ,
2022-04-18 00:16:13 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2092   ,        100   ,                       58   ,                       3199   ,                      144   ,                  97.1   ,              65.4   ,               10.7   ,             94.3   , 0.9437   ,               53.0   ,                  9993   ,
2022-04-18 00:16:14 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2096   ,        100   ,                       64   ,                       3200   ,                      147   ,                  76.4   ,              66.1   ,               10.7   ,             93.4   , 0.9437   ,               51.0   ,                  9984   ,
2022-04-18 00:16:15 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2094   ,         44   ,                       16   ,                       3200   ,                      147   ,                 102.2   ,              58.1   ,               10.7   ,             93.8   , 0.9437   ,               53.0   ,                  9967   ,
2022-04-18 00:16:16 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2092   ,         99   ,                       44   ,                       3200   ,                      147   ,                  96.2   ,              78.1   ,               10.7   ,             93.6   , 0.9437   ,               54.0   ,                  9965   ,
2022-04-18 00:16:18 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2092   ,        100   ,                       52   ,                       3200   ,                      147   ,                  87.3   ,              45.3   ,               10.7   ,             90.0   , 0.9500   ,               54.0   ,                  9986   ,
2022-04-18 00:16:18 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2091   ,         95   ,                       56   ,                       3373   ,                      149   ,                 104.9   ,              77.4   ,               10.7   ,             95.0   , 0.9375   ,               52.0   ,                 10007   ,
2022-04-18 00:16:19 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2088   ,        100   ,                       36   ,                       3395   ,                      149   ,                 107.4   ,              96.2   ,               10.7   ,             94.6   , 0.9375   ,               53.0   ,                 10023   ,
2022-04-18 00:16:20 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2089   ,        100   ,                       55   ,                       3419   ,                      147   ,                  92.2   ,              97.2   ,               10.7   ,             94.6   , 0.9375   ,               52.0   ,                 10041   ,
