        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC Power Draw [W] , VDDCI Power Draw [W] , VRM Efficiency [%] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2022-04-16 08:20:23 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2068   ,        100   ,                       28   ,                       2274   ,                      147   ,                 131.1   ,              80.5   ,               10.7   ,             94.2   , 0.9813   ,               48.0   ,                  9895   ,
2022-04-16 08:20:24 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2068   ,        100   ,                       43   ,                       2274   ,                      147   ,                 120.0   ,              89.7   ,               10.7   ,             94.6   , 0.9813   ,               48.0   ,                  9894   ,
2022-04-16 08:20:25 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,         95   ,                       40   ,                       2274   ,                      147   ,                 116.5   ,             103.2   ,               10.7   ,             95.3   , 0.9750   ,               48.0   ,                  9894   ,
2022-04-16 08:20:26 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,        100   ,                       40   ,                       2269   ,                      147   ,                 114.0   ,              94.5   ,               10.7   ,             95.0   , 0.9750   ,               48.0   ,                  9895   ,
2022-04-16 08:20:27 ,        1215.2   ,           1750.0   ,               78.0   ,              53   ,                2070   ,         99   ,                       39   ,                       2288   ,                      147   ,                 114.8   ,             101.2   ,               10.7   ,             95.4   , 0.9750   ,               48.0   ,                  9898   ,
2022-04-16 08:20:28 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,        100   ,                       65   ,                       2288   ,                      147   ,                 103.5   ,             109.2   ,               10.7   ,             95.1   , 0.9750   ,               48.0   ,                  9888   ,
2022-04-16 08:20:29 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,        100   ,                       35   ,                       2288   ,                      147   ,                 129.4   ,              86.5   ,               10.7   ,             95.1   , 0.9750   ,               48.0   ,                  9864   ,
2022-04-16 08:20:30 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2068   ,        100   ,                       18   ,                       2288   ,                      147   ,                 123.5   ,              90.6   ,               10.7   ,             94.1   , 0.9813   ,               49.0   ,                  9864   ,
2022-04-16 08:20:31 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,        100   ,                       27   ,                       2288   ,                      147   ,                 122.6   ,              92.8   ,               10.7   ,             95.1   , 0.9750   ,               48.0   ,                  9863   ,
2022-04-16 08:20:32 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2065   ,         97   ,                       59   ,                       2288   ,                      147   ,                 107.6   ,              95.6   ,               10.7   ,             95.0   , 0.9750   ,               48.0   ,                  9864   ,
2022-04-16 08:20:33 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,        100   ,                       38   ,                       2288   ,                      147   ,                 130.4   ,              85.2   ,               10.7   ,             94.1   , 0.9750   ,               47.0   ,                  9864   ,
2022-04-16 08:20:34 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2066   ,         99   ,                       62   ,                       2288   ,                      147   ,                 108.0   ,             115.3   ,               10.7   ,             95.2   , 0.9750   ,               48.0   ,                  9864   ,
2022-04-16 08:20:35 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,         96   ,                       47   ,                       2288   ,                      147   ,                 112.5   ,             103.2   ,               10.7   ,             95.1   , 0.9750   ,               49.0   ,                  9864   ,
2022-04-16 08:20:36 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,        100   ,                       60   ,                       2288   ,                      147   ,                 109.6   ,             116.2   ,               10.7   ,             95.3   , 0.9750   ,               48.0   ,                  9864   ,
2022-04-16 08:20:37 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2068   ,        100   ,                       21   ,                       2288   ,                      147   ,                 123.8   ,              92.1   ,               10.7   ,             94.1   , 0.9750   ,               47.0   ,                  9864   ,
2022-04-16 08:20:38 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2069   ,         99   ,                       49   ,                       2288   ,                      147   ,                 117.9   ,              94.5   ,               10.7   ,             94.8   , 0.9750   ,               47.0   ,                  9864   ,
2022-04-16 08:20:39 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2070   ,        100   ,                       44   ,                       2288   ,                      147   ,                 111.4   ,              94.9   ,               10.7   ,             94.7   , 0.9813   ,               49.0   ,                  9865   ,
2022-04-16 08:20:40 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2068   ,         96   ,                       39   ,                       2288   ,                      147   ,                 114.6   ,             102.5   ,               10.7   ,             95.3   , 0.9750   ,               49.0   ,                  9866   ,
2022-04-16 08:20:41 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2067   ,        100   ,                       47   ,                       2288   ,                      147   ,                 122.9   ,             101.0   ,               10.7   ,             94.4   , 0.9813   ,               52.0   ,                  9892   ,
2022-04-16 08:20:42 ,        1197.3   ,            300.0   ,               74.0   ,              47   ,                1888   ,          0   ,                        6   ,                       2278   ,                      183   ,                  27.8   ,              20.2   ,                1.6   ,             78.4   , 0.9563   ,               50.0   ,                  9892   ,
2022-04-16 08:20:43 ,        1102.4   ,            300.0   ,               70.0   ,              47   ,                1791   ,          0   ,                        6   ,                       1818   ,                      147   ,                  22.1   ,              31.0   ,                1.8   ,             80.2   , 0.9938   ,               50.0   ,                  9895   ,
2022-04-16 08:20:44 ,        1178.2   ,           1750.0   ,               69.0   ,              47   ,                1788   ,         91   ,                       52   ,                       2138   ,                      153   ,                  72.2   ,              37.8   ,               10.7   ,             90.9   , 0.9938   ,               49.0   ,                  9918   ,
2022-04-16 08:20:45 ,        1216.0   ,           1750.0   ,               71.0   ,              47   ,                1780   ,         82   ,                       67   ,                       2161   ,                      160   ,                  57.1   ,              23.1   ,               10.7   ,             88.4   , 0.9938   ,               49.0   ,                  9880   ,
2022-04-16 08:20:46 ,        1216.0   ,           1750.0   ,               71.0   ,              47   ,                1779   ,         17   ,                        1   ,                       2218   ,                      160   ,                  61.9   ,              61.7   ,               10.7   ,             87.8   , 0.9938   ,               49.0   ,                  9881   ,
2022-04-16 08:20:47 ,        1212.0   ,           1750.0   ,               72.0   ,              47   ,                1778   ,         99   ,                       86   ,                       2256   ,                      252   ,                  63.3   ,              55.6   ,               10.7   ,             91.2   , 0.9875   ,               49.0   ,                 10059   ,
2022-04-16 08:20:48 ,        1216.0   ,           1750.0   ,               72.0   ,              47   ,                1778   ,         56   ,                       52   ,                       2271   ,                      285   ,                  65.4   ,              57.8   ,               10.7   ,             90.7   , 0.9875   ,               50.0   ,                 10000   ,
2022-04-16 08:20:49 ,        1216.0   ,           1750.0   ,               73.0   ,              47   ,                1777   ,         53   ,                       23   ,                       2271   ,                      285   ,                  40.9   ,              24.3   ,               10.7   ,             84.1   , 0.9500   ,               50.0   ,                 10006   ,
2022-04-16 08:20:50 ,        1168.1   ,           1750.0   ,               72.0   ,              47   ,                1780   ,        100   ,                       41   ,                       2404   ,                      277   ,                 114.9   ,              86.7   ,               10.7   ,             94.5   , 0.9813   ,               52.0   ,                 10128   ,
2022-04-16 08:20:51 ,        1194.3   ,           1750.0   ,               72.0   ,              47   ,                1777   ,          0   ,                        1   ,                       2620   ,                      277   ,                  34.4   ,              17.0   ,               10.7   ,             81.6   , 0.9000   ,               49.0   ,                 10206   ,
2022-04-16 08:20:52 ,        1216.0   ,           1750.0   ,               75.0   ,              47   ,                1769   ,         96   ,                       62   ,                       2916   ,                      277   ,                 114.5   ,              98.6   ,               10.7   ,             94.5   , 0.9813   ,               50.0   ,                 10218   ,
2022-04-16 08:20:53 ,        1216.0   ,           1750.0   ,               75.0   ,              47   ,                1770   ,        100   ,                       70   ,                       2916   ,                      277   ,                 107.8   ,              95.9   ,               10.7   ,             94.6   , 0.9750   ,               49.0   ,                 10223   ,
2022-04-16 08:20:54 ,        1216.0   ,           1750.0   ,               76.0   ,              48   ,                1777   ,         97   ,                       50   ,                       2878   ,                      155   ,                 121.2   ,              78.8   ,               10.7   ,             94.8   , 0.9750   ,               49.0   ,                 10143   ,
2022-04-16 08:20:55 ,        1216.0   ,           1750.0   ,               76.0   ,              48   ,                1804   ,        100   ,                       57   ,                       3079   ,                      161   ,                  95.1   ,             101.7   ,               10.7   ,             94.1   , 0.9750   ,               50.0   ,                 10215   ,
2022-04-16 08:20:56 ,        1216.0   ,           1750.0   ,               76.0   ,              49   ,                1834   ,        100   ,                       73   ,                       2951   ,                      155   ,                 100.8   ,             103.6   ,               10.7   ,             94.4   , 0.9750   ,               50.0   ,                 10206   ,
2022-04-16 08:20:57 ,        1216.0   ,           1750.0   ,               77.0   ,              50   ,                1872   ,         99   ,                       16   ,                       2914   ,                      155   ,                 121.8   ,              85.0   ,               10.7   ,             95.0   , 0.9750   ,               49.0   ,                 10187   ,
2022-04-16 08:20:58 ,        1216.0   ,           1750.0   ,               77.0   ,              51   ,                1910   ,         89   ,                       33   ,                       2912   ,                      157   ,                  86.7   ,              38.4   ,               10.7   ,             95.3   , 0.9750   ,               49.0   ,                 10192   ,
